LOT,LOW,HIGH,DESCRIPT,TYPESET,FOOTNOTE,CROSSHEAD,REFNO
145,8000,12000,BRAM BOGART Dewitrood.,"BRAM BOGART
Dewitrood.

Mixed-media construction, 1965. 760x810 mm; 30x32 inches. Signed, titled and dated ""Oct. 1965"" in oil, verso.Ex-collection Stichting Veranneman--Fondation, Kruisem, Belgium, inventory number D. 1034, with the label; private collection, New York.",,,776371
146,1500,2500,JESÚS RAFAEL SOTO Caroni.,"JESÚS RAFAEL SOTO
Caroni.

Color screenprint on heavy white wove paper, 1971. 840x595 mm; 33¼x23½ inches (sheet), full margins. Signed and numbered 47/175 in pencil, lower margin. Published by Denise René and Hans Meyer, Paris, with the blind stamp, lower left. From the same-titled portfolio. A very good impression with vibrant colors.",,,776334
147,2500,3500,JESÚS RAFAEL SOTO Sotomagie.,"JESÚS RAFAEL SOTO
Sotomagie.

Color screenprints on two Plexiglas panels with steel rods, 1967. 340x340x160 mm; 13x13x7 inches. Signed and numbered 62/100 in ink, label verso. Published by Éditions Denise René, Paris, with the label verso. From the same-titled series.",,,776192
148,2500,3500,JESÚS RAFAEL SOTO Espirale Doble.,"JESÚS RAFAEL SOTO
Espirale Doble.

Color screenprints on two Plexiglas panels with steel rods, 1979. 390x390x130 mm; 15¼x15¼x5¼ inches. Signed and numbered 18/110 in ink, label verso. Published by Éditions Denise René, Paris. From Series Sintesis.",,,776193
149,1200,1800,CARLOS CRUZ-DIEZ Induction Chromatique (3-AED).,"CARLOS CRUZ-DIEZ
Induction Chromatique (3-AED).

Color screenprint, 1998. 250x248 mm; 9x9¾ inches, full margins. Signed, titled, dated and numbered 9/65 in pencil, lower margin. Printed by Atelier Editions Fanal, Basel, with the ink stamp verso. A very good impression with strong colors.",,,774798
150,5000,8000,LUCIO FONTANA Concetto Spaziale (Rosa).,"LUCIO FONTANA
Concetto Spaziale (Rosa).

Synthetic vacuum-formed plastic multiple, 1968. 295x295 mm; 11x11 inches. Published by Achille Mauri, Milan. With the accompanying book Lucio Fontana and printed cardboard folder.",,,776228
151,1000,1500,LUCIO FONTANA Senza Titolo.,"LUCIO FONTANA
Senza Titolo.

Embossing on bi-fold sheet. 198x203 mm; 7x8 inches, full margins. Numbered 453/500 in pencil, lower margin, and signed and annotated by Carla Panicali, Director, Marlborough Gallery, Rome, in ink on the cover.This is a limited edition card issued by the Marlborough Gallery, Rome.",,,774569
152,1200,1800,CARL ANDRE Untitled (Equivalents).,"CARL ANDRE
Untitled (Equivalents).

Offset lithograph, 1960-69. 553x396 mm; 21¾x15 inches (sheet), full margins. Signed and numbered 36/50 in pen and brown ink, lower margin. A very good impression.",,,774686
153,4000,6000,AGNES MARTIN Paintings and Drawings: Stedelijk Museum Portfolio.,"AGNES MARTIN
Paintings and Drawings: Stedelijk Museum Portfolio.

Portfolio with complete text in 2 bound volumes and 10 lithographs on vellum, 1990. Each lithograph 298x298 mm; 11¾x11¾ inches (sheets), full margins, loose as issued. Edition of 2500. Printed by Lecturis, Eindhoven. Published by Nemela & Lenzen GmbH, Mönchengladbach & Stedelijk Museum, Amsterdam. With the original card portfolio folder. Very good impressions.",,,755437
154,50000,80000,AGNES MARTIN Untitled.,"AGNES MARTIN
Untitled.

Watercolor and pencil on vellum, 1977. 305x305 mm; 12x12 inches. Signed and dated in ink, lower right recto.Exhibited Agnes Martin: Watercolors, Pace Gallery, New York, March-April 1978, with the gallery label, verso; Agnes Martin: Recent Drawings, Harcus-Krakow Gallery, November 1978; Agnes Martin: Recent Watercolors, Margo Leavin Gallery, April 1979, with the gallery label verso.Published Tiffany Bell, Agnes Martin: Works on Paper, number 1977.016 WP.Ex-collection Pace Galleries, New York; Irving Luntz, Palm Beach, Florida; private collection, FloridaMartin (1912-2004) was born in Canada and moved to the United States in 1932. She studied arts education at Columbia University, New York, but while there decided to become an artist. She worked for a several years as a teacher then moved to New Mexico in 1947 fully dedicating herself to her artwork.She returned to New York in 1957 on the advice of the gallerist Betty Parson, and became acquainted with Robert Indiana (1928-2018, see lots 220-224 and 272-274), Ellsworth Kelly (1923-2015, see lots 159-162 and lot 207) and Ad Reinhardt (1913-1967). This time period coincided with her shift from focusing on biomorphic shapes towards the geometric grid-like compositions for which she is known. She had her first solo exhibition at the Betty Parson Gallery, New York in 1958 and over the next decade gained acclaim in the New York art world.However, in 1967 she abruptly left New York and ceased creating art for 7 years. She eventually began painting again after settling in near seclusion in New Mexico. She is celebrated for her serene geometric paintings that are rooted in Zen Buddhist and American Transcendentalist ideas, pairing the metaphysical with structure and space. She viewed herself as an Abstract Expressionist, though not in the gestural-forward manner of much of the New York school, and her works were restrained, yet based in emotions, spiritual inspiration and the beauty of nature.",,,774683
155,1500,2500,FRANK STELLA Untitled (Rabat).,"FRANK STELLA
Untitled (Rabat).

Color screenprint, 1964. 457x457 mm; 18x18 inches, full margins. Edition of 500. Printed by Ives-Sillman, Inc., New Haven, with the blind stamp lower right. Published by the Wadsworth Atheneum, Hartford. From Ten Works x Ten Painters. With the original paper folder. A very good impression. Adapted from a gouache by Stella based on his same-titled painting from the Moroccan Series, 1964-65. Axsom A.",,,775475
156,2500,3500,FRANK STELLA Union.,"FRANK STELLA
Union.

Color lithograph and screenprint on 300-gram Arches paper, 1974. 38x565 mm; 17¼x22¼ inches (sheet), full margins. Signed, dated and numbered 22/100 in pencil, lower right. Printed and published by Gemini G.E.L., Los Angeles, with the blind stamp lower right. From Eccentric Polygons. A very good impression. Axsom 96.",,,775059
157,2000,3000,FRANK STELLA Effington.,"FRANK STELLA
Effington.

Color lithograph and screenprint on 300-gram Arches paper, 1974. 435x560 mm; 17x 22 inches (sheet), full margins. Signed, dated and numbered 68/100 in pencil, lower left. Printed and published by Gemini G.E.L., Los Angeles, with the blind stamps lower right. From Eccentric Polygons. A good impression. Axsom 102.",,,775254
158,3000,5000,FRANK STELLA Attica Defense Fund.,"FRANK STELLA
Attica Defense Fund. 

Offset lithograph on smooth cream wove paper, 1974. 750x750 mm; 29½x29½ inches (sheet), full margins. Edition of 3000. Signed and dated in pencil, lower right. Printed by Graphic Press, New York. Published by Attica Brothers Legal Defense Club, New York. Axsom II F.",,,775283
159,1500,2500,ELLSWORTH KELLY Portikus.,"ELLSWORTH KELLY
Portikus.

Screenprint on white wove paper, 1990. 841x680 mm; 33x26¾ inches (sheet), full margins. Edition of 37 (from an intended edition of 100). Signed in pencil, lower right. Published by Edition Portikus, Franfurt am Main. A very good impression.",,,775773
160,4000,6000,ELLSWORTH KELLY Red-Orange over Black.,"ELLSWORTH KELLY
Red-Orange over Black.

Color screenprint on Special Arjomari paper, 1970. 626x755 mm; 24¾x29¾ inches (sheet), wide margins. Signed and numbered 49/250 in pencil, lower margin. Printed and published by Gemini, G.E.L., Los Angeles, with the blind stamps lower right. A very good impression with strong colors. Axsom 71.",,,775187
161,1500,2500,"ELLSWORTH KELLY Derrière le Miroir, No. 149.","ELLSWORTH KELLY
Derrière le Miroir, No. 149.

Portfolio with complete text, 2 double-page color lithographs and double-page color lithograph cover, 1964. 380x280 mm; 15x11 inches (sheets), full margins, loose as issued. One of 150 deluxe numbered copies. Signed in pencil and numbered ""116"" on the justification page. Printed by Maeght, Paris. Published by Derrière le Miroir, Paris. Very good impressions with vibrant colors. Axsom Ib.",,,775127
162,1500,2500,ELLSWORTH KELLY (after) Sample Portfolio,"ELLSWORTH KELLY (after)Sample Portfolio. Portfolio with complete text and 10 color lithographs, 1970. 235x162 mm; 9¼x6 inches (sheet), full margins, loose as issued. Printed and published by Gemini G.E.L., Los Angeles. Original paper folder. Very good impressions.",,,774429
163,1000,1500,"SOL LEWITT Lines, Not Long, Not Heavy, Not Touching, Drawn at Random (Circle).","SOL LEWITT
Lines, Not Long, Not Heavy, Not Touching, Drawn at Random (Circle). 

Lithograph on cream wove paper, 1970. 445x321 mm; 17x12½ inches (sheet), full margins. Signed and numbered 31/250 in pencil, lower margin. Printed by F.B. Karbach, Düsseldorf. Co-published by Konrad Fischer, Düsseldorf, and Kölner Kunstmarkt, Cologne, Germany. A very good impression. Krakow 1970.06.",,,774794
164,5000,8000,SOL LEWITT Horizontal Composite (Color).,"SOL LEWITT
Horizontal Composite (Color).

Color screenprint on Strathmore paper, 1970. 305x857 mm; 12x33 inches, full margins. Signed and numbered 85/150 in pencil, lower margin. Printed by John Campione, New York. Published by John Weber Gallery, New York. A very good impression of this large print with strong colors. Krakow 1970.02.",,,776001
165,1500,2500,SOL LEWITT Eight Squares with a Different Color in Each Half Square (Divided Horizontally and Vertically).,"SOL LEWITT
Eight Squares with a Different Color in Each Half Square (Divided Horizontally and Vertically).

Color screenprint on Arches 88 paper, 1980. 355x355 mm; 14x14 inches, full margins. Signed and numbered 11/50 in pencil, lower right. Printed by John Campione, New York. Published by Multiples, Inc., New York. From the same-titled portfolio. A very good impression. Krakow 1980.05.",,,776005
166,1500,2500,SOL LEWITT Eight Squares with a Different Color in Each Half Square (Divided Horizontally and Vertically).,"SOL LEWITT
Eight Squares with a Different Color in Each Half Square (Divided Horizontally and Vertically).

Color screenprint on Arches 88 paper, 1980. 355x355 mm; 14x14 inches, full margins. Signed and numbered 8/50 in pencil, lower right. Printed by John Campione, New York. Published by Multiples Inc., New York. From the same-titled portfolio. A very good impression.  Krakow 1980.05.",,,776002
167,1500,2500,SOL LEWITT Eight Squares with a Different Color in Each Half Square (Divided Horizontally and Vertically).,"SOL LEWITT
Eight Squares with a Different Color in Each Half Square (Divided Horizontally and Vertically).

Color screenprint on Arches 88 paper, 1980. 355x355 mm; 14x14 inches, full margins. Signed and numbered 2/50 in pencil, lower right. Printed by John Campione, New York. Published by Multiples, Inc., New York. From the same-titled portfolio. A very good impression. Krakow 1980.05.",,,776004
168,1000,1500,SOL LEWITT Stars--Blue Center.,"SOL LEWITT
Stars--Blue Center.

Color etching and aquatint on Arches, 1983. 420x420 mm; 16½x16½ inches, full margins. Signed and numbered 9/10 in pencil, lower right. Printed and published by Crown Point Press, Oakland. From the same-titled portfolio. A very good impression. Krakow 1983.04.",,,775809
169,1500,2500,GENE DAVIS Untitled.,"GENE DAVIS
Untitled.

Color pastels on paper, 1981. 305x453 mm; 12x18 inches. Signed and dated in pencil, lower right recto.Ex-collection Charles Cowles Gallery, New York, with the label, verso; Stair Galleries, Hudson, New York, January 18, 2013, lot 663; private collection, New York.",,,776668
170,4000,6000,SANDU DARIE Untitled.,"SANDU DARIE
Untitled.

Oil on canvas, 1978. 560x755 mm; 22x29¾ inches. Signed and dated in ink, lower right recto.Ex-collection private collection, Washington, D.C.",,,775120
171,1000,1500,KENNETH NOLAND Untitled.,"KENNETH NOLAND
Untitled.

Color aquatint, 1988. 375x556 mm; 14x22 inches (sheet), full margins. Numbered 79/100 in white pencil, lower left. Published by Galeria Joan Prats, Barcelona. From Galeria Joan Prats 1976-1988, Carpeta Commemorativa 12.e Aniversari. A very good impression with strong colors.",,,776083
172,10000,15000,DOROTHEA ROCKBURNE Locus.,"DOROTHEA ROCKBURNE
Locus.

Portfolio with complete set of 6 aquatints with folding and embossing on Strathmore paper, 1972. 1012x770 mm; 40x30 inches (sheet, unfolded), full margins, loose and folded as issued. Each signed, titled and numbered 4/42 in pencil, lower margin. Printed by Crown Point Press, San Francisco. Published by Parasol Press, Ltd., Portland. With the original wooden box.We have found only 4 other complete portfolios at auction in the past 30 years.The conception of the Locus series emanates from Rockburne’s (b. 1932) Drawing Which Makes Itself inspired by the everchanging geometry of fresh ski-tracks in the snow. Rockburne’s continued exploration in using paper not only as a static material upon which an artist draws, but as actively changing forms is evident in the Locus series. The current portfolio and the series Drawing Which Makes Itself are still widely celebrated; the latter being exhibited in 2013 at the Museum of Modern Art, New York. Born in Montreal, Rockburne was a precocious child, studying at the École des Beaux-Arts de Montréal while still attending elementary school. In 1950, she received a scholarship to attend Black Mountain College, North Carolina, and studied under John Cage (1912-1992, see lot 177), Franz Kline (1910-1962), Merce Cunningham (1919-2009), and Philip Guston (1913-1980, see lot 29), among others. Rockburne’s intellectual curiosity and rebellious streak was nurtured at Black Mountain and her multifaceted education would provide the foundation for her abstract, exploratory art, rooted in mathematics and geometry.She moved to New York in 1955 and became active in the artist community alongside friends Robert Rauschenberg (1925-2008, see lots 186-196), Jasper Johns (b. 1930, see lots 181-185), Brice Marden (b. 1938, see lot 331) and Susan Weil (b. 1930). Though she became dissatisfied with art-making in the early 1960s, Rockburne used other creative outlets, participating in dance, films, and performances, including Claes Oldenburg’s (b. 1929, see lots 261-266) Washes at Al Roon’s Health Club. Rockburne began to produce fine art again in the late 1960s, the restart to a widely influential career.",,,773576
